"ISBN","title","author","publisher","category","original-language","country-of-origin","summary-of-content","summary-of-reviews"
"978-0241472616","Heartstopper Volume Two","Alice Oseman","Hodder Children's Books","Young Adult Graphic Novel","English","United Kingdom","The story of Charlie and Nick continues as their friendship blossoms into romance, and they navigate the challenges of coming out and first relationships.","Continued to receive praise for its charming story and relatable characters. The exploration of mental health issues alongside the romance was also noted as a strength."
"978-0241472630","Heartstopper Volume Three","Alice Oseman","Hodder Children's Books","Young Adult Graphic Novel","English","United Kingdom","Charlie and Nick's relationship continues to develop as they go on a school trip to Paris and face new challenges in their relationship and personal lives.","Praised for its realistic depiction of a growing relationship and its handling of more serious themes. The Paris setting was also enjoyed by readers."
"978-0241472654","Heartstopper Volume Four","Alice Oseman","Hodder Children's Books","Young Adult Graphic Novel","English","United Kingdom","This volume delves deeper into the mental health struggles of the characters, particularly Charlie, and the importance of seeking help and support from loved ones.","Lauded for its sensitive and honest portrayal of mental health issues in young people. It was seen as an important and valuable addition to the series."
"978-1786079084","A Little Life","Hanya Yanagihara","Picador","Fiction","English","United States","A novel that follows the lives of four college friends in New York City, and centers on the harrowing story of one of them, Jude, a brilliant lawyer with a traumatic past. (Note: Yanagihara is American, but this book has had an enduring and massive impact in Europe).","Praised for its powerful and immersive storytelling, but also noted for its graphic and disturbing content. It is a deeply divisive book, with some readers finding it a masterpiece of emotional depth and others finding it gratuitously traumatic. It was a finalist for the Booker Prize."
"978-1501160769","Beartown","Fredrik Backman","Simon & Schuster","Fiction","Swedish","Sweden","Set in a small, hockey-obsessed town in Sweden, this novel explores the aftermath of a violent act that divides the community and forces its residents to confront difficult truths.","Praised for its powerful social commentary, its complex characters, and its emotional depth. Backman's ability to write about difficult subjects with empathy and nuance was widely admired. It was a critical and commercial success."
"978-1501160790","Us Against You","Fredrik Backman","Simon & Schuster","Fiction","Swedish","Sweden","The sequel to 'Beartown', it continues to explore the rivalries and tensions in the small hockey town, as well as the enduring power of community and loyalty.","Praised as a worthy sequel, with reviewers noting its continued emotional depth and insightful exploration of human nature. The character development was again a strong point."
"978-1501160820","Anxious People","Fredrik Backman","Simon & Schuster","Fiction","Swedish","Sweden","A comedy about a failed bank robber who takes a group of people hostage at an apartment viewing, leading to a series of unexpected revelations and connections.","Praised for its humor, its warmth, and its compassionate portrayal of human flawedness. It was seen as a departure in tone from his previous works, but with the same underlying themes of empathy and connection."
"978-0143124178","The Life-Changing Magic of Tidying Up","Marie Kondo","Ten Speed Press","Non-Fiction/Self-Help","Japanese","Japan","A guide to decluttering and organizing your home using the KonMari method, which involves keeping only the things that 'spark joy'. (Note: Kondo is Japanese, but her method became a global phenomenon with huge impact in Europe).","A massive international bestseller that inspired a global decluttering craze. It was praised for its simple yet effective philosophy and its practical advice. It has had a lasting impact on the self-help and lifestyle genres."
"978-0241983417","Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think","Hans Rosling, with Ola Rosling and Anna Rosling Rönnlund","Sceptre","Non-Fiction/Social Science","Swedish","Sweden","A book that uses data to show that the world is, in many ways, a much better place than we think it is, and encourages a more fact-based worldview.","Praised for its optimistic and data-driven perspective on the state of the world. It was seen as an important antidote to the negativity of the news cycle. It was a bestseller and a book recommended by many influential figures."
"978-0241372371","The Body: A Guide for Occupants","Bill Bryson","Doubleday","Non-Fiction/Science","English","United States/United Kingdom","A tour of the human body, from head to toe, that explains its functions and marvels in Bryson's trademark witty and accessible style. (Note: Bryson has dual US/UK citizenship and lives in the UK).","Praised for its humor, its fascinating facts, and its ability to make complex scientific concepts understandable and entertaining. It was a bestseller and a popular science classic."
"978-0241353110","Pachinko","Min Jin Lee","Head of Zeus","Historical Fiction","English","United States","A multi-generational novel that follows a Korean family who immigrate to Japan, and the challenges they face with poverty, discrimination, and identity. (Note: Lee is American, but the book has been a major international success).","Praised for its epic scope, its meticulous research, and its moving portrayal of a family's struggles and resilience. It was a finalist for the National Book Award for Fiction and a critical and commercial success."
"978-0241980379","The Tattooist of Auschwitz","Heather Morris","Zaffre Publishing","Historical Fiction","English","New Zealand/Australia","Based on a true story, this novel tells of a young Slovakian Jew who is forced to become the tattooist at Auschwitz-Birkenau and falls in love with a fellow prisoner. (Note: Morris is from New Zealand/Australia, but the book was a massive bestseller across Europe).","A huge international bestseller that has been praised for its powerful and moving story of love and survival in the darkest of times. While it has faced some criticism from historians for fictionalizing certain aspects of the Holocaust, it has been embraced by a massive readership."
"978-0241987514","Cilka's Journey","Heather Morris","Zaffre Publishing","Historical Fiction","English","New Zealand/Australia","The sequel to 'The Tattooist of Auschwitz', it tells the story of Cilka Klein, who, after being liberated from Auschwitz, is sent to a Siberian gulag.","Another bestseller that was praised for its powerful story of resilience and survival. Like its predecessor, it has been a popular and moving read for many, though it also faced some historical scrutiny."
"978-0241410298","Three Women","Lisa Taddeo","Bloomsbury Circus","Non-Fiction/Social Science","English","United States","An in-depth look at the sex lives and desires of three ordinary American women, based on nearly a decade of reporting. (Note: Taddeo is American, but this book was a major cultural talking point in Europe).","Praised for its intimate and revealing portraits of female desire. It was a bestseller and a book that sparked a great deal of conversation about women's sexuality. It was lauded for its literary non-fiction style."
"978-0241350904","Fleishman Is in Trouble","Taffy Brodesser-Akner","Wildfire","Fiction","English","United States","A novel about a recently separated man in New York City who is navigating the world of online dating, until his ex-wife disappears, leaving him with their two children. (Note: The author is American, but the book was a big hit in the UK and Europe).","Praised for its sharp wit, its insightful social commentary, and its clever deconstruction of modern relationships. It was a critically acclaimed and popular novel."
"978-1786079046","Such a Fun Age","Kiley Reid","Bloomsbury Circus","Fiction","English","United States","A novel about a young black babysitter who is accused of kidnapping her white charge, and the chain of events that follows, exploring themes of race, class, and privilege. (Note: Reid is American, but the book was a bestseller and longlisted for the Booker Prize).","Praised for its sharp and witty social commentary, its engaging plot, and its nuanced exploration of contemporary social issues. It was a critically acclaimed and popular debut."
"978-1529022094","How to Kill Your Family","Bella Mackie","The Borough Press","Fiction","English","United Kingdom","A dark comedy about a young woman who, after discovering her wealthy father's identity, decides to systematically murder her entire family.","A bestseller that was praised for its dark humor, its witty protagonist, and its entertaining plot. It was a fun and sharp-tongued read for those who enjoy black comedy."
"978-0241472579","Malibu Rising","Taylor Jenkins Reid","Hutchinson","Historical Fiction","English","United States","Set in 1980s Malibu, this novel follows the four famous children of a legendary singer as they throw their annual end-of-summer party, which ends in flames. (Note: Jenkins Reid is American, but her books are hugely popular in Europe).","Praised for its glamorous setting, its compelling family drama, and its page-turning plot. It was a bestseller and a popular summer read."
"978-0241472555","The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","Simon & Schuster","Historical Fiction","English","United States","A reclusive Old Hollywood movie icon decides to tell her life story to an unknown magazine reporter, revealing the secrets behind her glamorous life and her seven marriages. (Note: Jenkins Reid is American, and this book has had a massive resurgence in popularity in Europe).","A hugely popular novel praised for its captivating story, its memorable protagonist, and its surprising twists. It has a massive following on social media and has been a long-running bestseller."
"978-0241472531","Daisy Jones & The Six","Taylor Jenkins Reid","Hutchinson","Historical Fiction","English","United States","Told in the form of an oral history, this novel chronicles the rise and fall of a fictional 1970s rock band. (Note: Jenkins Reid is American, but this book was a major hit in Europe).","Praised for its unique format, its authentic voice, and its compelling story of music, love, and ambition. It was a bestseller and has been adapted into a popular TV series."
"978-0241472517","Carrie Soto Is Back","Taylor Jenkins Reid","Hutchinson","Historical Fiction","English","United States","A retired tennis champion decides to come out of retirement to reclaim her record for the most Grand Slam titles. (Note: Jenkins Reid is American, and this continues her run of European bestsellers).","Praised for its inspiring protagonist, its exciting tennis scenes, and its exploration of ambition and legacy. It was another popular and well-received novel from the author."
"978-0241459747","The House in the Cerulean Sea","T.J. Klune","Tor Books","Fantasy","English","United States","A heartwarming fantasy novel about a case worker who is sent to investigate a magical orphanage for extraordinary children. (Note: Klune is American, but this book has been a word-of-mouth hit in Europe).","Praised for its charm, its warmth, and its celebration of found family. It has been a beloved book for many readers, known for its feel-good story and its lovely characters."
"978-0241472715","A Court of Thorns and Roses","Sarah J. Maas","Bloomsbury Publishing","Fantasy/Romance","English","United States","A retelling of 'Beauty and the Beast', in which a young human huntress is taken to the magical land of the Fae after killing a wolf in the woods. (Note: Maas is American, but her books are a global phenomenon, especially in Europe).","A hugely popular series that is praised for its blend of fantasy, romance, and action. It has a massive and dedicated fanbase. The series is known for its steamy scenes and its addictive plotlines."
"978-0241577718","A Court of Mist and Fury","Sarah J. Maas","Bloomsbury Publishing","Fantasy/Romance","English","United States","The second book in the 'A Court of Thorns and Roses' series, it continues the story of Feyre as she navigates the complex politics and dangers of the Fae world.","Often cited by fans as the best book in the series, it is praised for its character development, its expanding world-building, and its emotional and romantic depth."
"978-0241577732","A Court of Wings and Ruin","Sarah J. Maas","Bloomsbury Publishing","Fantasy/Romance","English","United States","The third book in the 'A Court of Thorns and Roses' series, it is a story of war, sacrifice, and love as Feyre and her allies fight to save their world.","Praised for its epic conclusion to the main trilogy's arc. It is action-packed and emotionally satisfying for fans of the series."
"978-0241577756","A Court of Frost and Starlight","Sarah J. Maas","Bloomsbury Publishing","Fantasy/Romance","English","United States","A novella that bridges the gap between the original trilogy and the next books in the series, it is a heartwarming story about the characters celebrating the winter solstice.","A cozy and festive read for fans of the series, it offers a glimpse into the characters' lives after the war."
"978-0241577770","A Court of Silver Flames","Sarah J. Maas","Bloomsbury Publishing","Fantasy/Romance","English","United States","This book shifts focus to two other characters in the series, Nesta and Cassian, as they navigate their own traumatic pasts and their undeniable chemistry.","Praised for its more mature themes, its complex character arcs, and its steamy romance. It was a highly anticipated and well-received addition to the series."
"978-0241594913","Fourth Wing","Rebecca Yarros","Piatkus","Fantasy/Romance","English","United States","In a war college for dragon riders, a young woman with a brittle body is forced to join the riders' quadrant, where she must survive deadly trials and a ruthless wingleader who wants her dead. (Note: Yarros is American, but this book has been a global sensation).","A viral sensation and a massive bestseller, it has been praised for its addictive plot, its high-stakes world, and its blend of fantasy and romance. It has been a huge hit with fans of 'romantasy'."
"978-0241648082","Iron Flame","Rebecca Yarros","Piatkus","Fantasy/Romance","English","United States","The sequel to 'Fourth Wing', it continues the story of Violet Sorrengail as she faces new dangers and uncovers dark secrets at the war college.","Another bestseller that was eagerly awaited by fans. It was praised for its continued action, romance, and plot twists, though some critics noted pacing issues."
"978-1529158059","The Priory of the Orange Tree","Samantha Shannon","Bloomsbury Publishing","Fantasy","English","United Kingdom","An epic fantasy novel that follows a queen who must conceive a daughter to protect her realm from a powerful dragon, a lady-in-waiting who is secretly a mage, and a dragon rider from the East.","Praised for its rich world-building, its complex female characters, and its epic scope. It has been lauded as a masterpiece of modern fantasy and is particularly noted for its standalone nature in a genre dominated by series."
"978-0241341995","The Starless Sea","Erin Morgenstern","Harvill Secker","Fantasy","English","United States","A novel about a graduate student who discovers a mysterious book that leads him to a secret underground world of stories, storytellers, and ancient magic. (Note: Morgenstern is American, but her work is very popular in Europe).","Praised for its beautiful, lyrical prose, its enchanting atmosphere, and its intricate, non-linear plot. It is a love letter to stories and books, and a magical read for those who enjoy immersive fantasy."
"978-1529062311","Project Hail Mary","Andy Weir","Del Rey","Science Fiction","English","United States","A lone astronaut wakes up on a mission to save humanity, with no memory of who he is or how he got there. He must piece together his past to complete his mission. (Note: Weir is American, but this was a major international bestseller).","Praised for its clever science, its gripping plot, and its heartwarming story of friendship. It has been a huge hit with fans of hard science fiction and has been lauded for its optimism and humor."
"978-1786076892","Big Little Lies","Liane Moriarty","Penguin","Fiction","English","Australia","A novel that explores the dark secrets and lies of a group of wealthy mothers in a picturesque Australian coastal town, which all comes to a head at a school trivia night. (Note: Moriarty is Australian, but her books are global bestsellers).","Praised for its sharp wit, its suspenseful plot, and its insightful exploration of female friendships and domestic drama. It was a bestseller and was adapted into a hugely successful TV series."
"978-1405916325","The Husband's Secret","Liane Moriarty","Penguin","Fiction","English","Australia","A woman discovers a letter from her husband, to be opened only in the event of his death. She opens it while he is still alive, and discovers a secret that will change everything.","Another bestseller from Moriarty, praised for its clever plotting and its exploration of the moral complexities of secrets and lies. It is a compelling and thought-provoking read."
"978-1405916349","Nine Perfect Strangers","Liane Moriarty","Penguin","Fiction","English","Australia","Nine strangers gather at a remote health resort for a ten-day retreat, each with their own reasons for being there. They soon discover that the resort and its enigmatic director are not what they seem.","Praised for its humor, its quirky characters, and its suspenseful plot. It was another popular and entertaining read from Moriarty, and was also adapted into a TV series."
"978-1529022148","Where the Forest Meets the Stars","Glendy Vanderah","Lake Union Publishing","Fiction","English","United States","A reclusive ornithologist's life is disrupted when a mysterious young girl appears at her isolated cabin, claiming to be an alien. (Note: Vanderah is American, but this book was a word-of-mouth success in Europe).","Praised for its unique premise, its heartwarming story, and its blend of mystery, romance, and magical realism. It has been a popular and emotional read for many."
"978-0241988504","The Giver of Stars","Jojo Moyes","Penguin","Historical Fiction","English","United Kingdom","Based on a true story, this novel follows a group of women who become packhorse librarians in rural Kentucky during the Great Depression.","Praised for its inspiring story of female friendship, its well-researched historical detail, and its celebration of the power of books. It was a bestseller and a popular book club pick."
"978-1405918800","Me Before You","Jojo Moyes","Penguin","Romance","English","United Kingdom","A young woman from a small town is hired to care for a wealthy and successful man who has been paralyzed in an accident. Their relationship changes both of their lives in unexpected ways.","A massive international bestseller that was praised for its emotional and heartbreaking love story. It sparked a great deal of conversation about disability and the right to die. It was adapted into a successful film."
"978-1405918824","After You","Jojo Moyes","Penguin","Romance","English","United Kingdom","The sequel to 'Me Before You', it follows Lou Clark as she tries to move on with her life after the events of the first book.","While not as universally praised as its predecessor, it was a bestseller that was appreciated by fans who wanted to know what happened next to the beloved protagonist."
"978-1405918848","Still Me","Jojo Moyes","Penguin","Romance","English","United Kingdom","The third book in the 'Me Before You' series, it follows Lou Clark as she moves to New York City to start a new life and a new job.","Praised as a satisfying conclusion to the trilogy, it was a warm and engaging read that was popular with fans of the series."
"978-1529032048","One Day","David Nicholls","Hodder & Stoughton","Romance","English","United Kingdom","The story of two people, Emma and Dexter, who meet on the day of their graduation and whose lives are revisited on the same day, July 15th, for the next twenty years.","A modern classic of the romance genre, it has been praised for its wit, its charm, and its heartbreakingly realistic portrayal of a long-term friendship and love story. It has had a recent resurgence in popularity due to a new TV adaptation."
"978-1529350173","Small Pleasures","Clare Chambers","W&N","Historical Fiction","English","United Kingdom","Set in 1950s suburban London, a journalist investigates a woman's claim of a virgin birth, and finds her own life transformed in the process.","Shortlisted for the Women's Prize for Fiction, it was praised for its quiet and understated beauty, its emotional depth, and its evocative portrayal of post-war England. It was a critically acclaimed and much-loved novel."
"978-0241988771","Sorrow and Bliss","Meg Mason","W&N","Fiction","English","New Zealand/Australia","A darkly funny and deeply moving novel about a woman's lifelong struggle with an unnamed mental illness and its impact on her marriage.","Praised for its sharp wit, its raw honesty, and its powerful depiction of mental illness. It was a critically acclaimed and bestselling novel that resonated with many readers."
"978-1786077592","American Dirt","Jeanine Cummins","Tinder Press","Thriller","English","United States","A novel about a Mexican woman who is forced to flee her home with her young son and travel to the United States as an undocumented immigrant, after her family is targeted by a drug cartel. (Note: Cummins is American, but the book was a major, if controversial, publication in Europe).","A massive bestseller that generated a great deal of controversy. It was praised by some for being a gripping and suspenseful thriller that shed light on the migrant experience. However, it was also heavily criticized for what many saw as a stereotypical and inauthentic portrayal of Mexican culture and the immigrant experience."
"978-1786079060","The Midnight Library","Matt Haig","Canongate Books","Fantasy","English","United Kingdom","A woman on the brink of suicide finds herself in a library where each book represents an alternative life she could have lived, and she gets to try them out to find the perfect one.","A huge international bestseller that has been praised for its life-affirming message, its imaginative premise, and its exploration of regret and second chances. It has been a popular and comforting read for many."
"978-1782119939","The Offing","Benjamin Myers","Bloomsbury Circus","Historical Fiction","English","United Kingdom","In the summer after World War II, a teenage boy from a mining village sets out to see the sea and stumbles upon the cottage of an eccentric older woman, and they form an unlikely friendship.","Praised for its beautiful prose, its gentle and heartwarming story, and its evocative descriptions of the natural world. It has been described as a quiet and profound novel."
"978-1786498424","The Lamplighters","Emma Stonex","Picador","Mystery","English","United Kingdom","Based on a true story, this novel explores the mysterious disappearance of three lighthouse keepers from a remote Cornish lighthouse in 1972, and the lives of the women they left behind.","Praised for its atmospheric setting, its suspenseful plot, and its moving portrayal of grief and loss. It was a critically acclaimed and popular mystery."
"978-0241470506","Great Circle","Maggie Shipstead","Doubleday","Historical Fiction","English","United States","An epic novel about a female aviator who disappears while attempting to circumnavigate the globe in the 1950s, and the actress who is cast to play her in a film a century later. (Note: Shipstead is American, but the book was shortlisted for the Booker Prize).","Praised for its ambitious scope, its meticulous research, and its unforgettable protagonist. It was a critically acclaimed and immersive work of historical fiction."
"978-0241578333","Cloud Cuckoo Land","Anthony Doerr","4th Estate","Historical Fiction","English","United States","An epic novel that interweaves the stories of five characters across different time periods—from ancient Greece to the distant future—who are all connected by a single ancient text. (Note: Doerr is American, but his work is very popular in Europe).","Praised for its beautiful prose, its imaginative storytelling, and its celebration of the power of books and stories. It is a complex and ambitious novel that has been admired for its scope and its humanity."
"978-0241982847","All the Light We Cannot See","Anthony Doerr","4th Estate","Historical Fiction","English","United States","The story of a blind French girl and a German boy whose paths collide in occupied France during World War II. (Note: Doerr is American, and this book won the Pulitzer Prize and was a massive bestseller in Europe).","Praised for its beautiful writing, its moving story, and its memorable characters. It was a huge critical and commercial success and has become a modern classic of historical fiction."
"978-0241989501","The Lincoln Highway","Amor Towles","Viking","Historical Fiction","English","United States","In 1950s America, two brothers set out on a road trip from Nebraska to California, but their plans are derailed by two escaped convicts from a juvenile work farm. (Note: Towles is American, but his work is very popular in Europe).","Praised for its charming characters, its adventurous spirit, and its nostalgic portrayal of 1950s America. It was a bestseller and a popular and entertaining read."
"978-0241973302","A Gentleman in Moscow","Amor Towles","Windmill Books","Historical Fiction","English","United States","An aristocrat in post-revolutionary Russia is sentenced to house arrest in a grand hotel in Moscow, where he lives for the next thirty years.","Praised for its elegant prose, its charming protagonist, and its unique and captivating story. It was a bestseller and a much-loved book for its warmth and wit."
"978-1786076267","Station Eleven","Emily St. John Mandel","Picador","Science Fiction","English","Canada","A novel that moves between the time before, during, and after a devastating flu pandemic, following a traveling Shakespearean theatre company in a post-apocalyptic world. (Note: Mandel is Canadian, and this book had a resurgence in popularity during the COVID-19 pandemic).","Praised for its beautiful prose, its elegiac tone, and its hopeful vision of humanity's resilience in the face of collapse. It is a story about art, memory, and the importance of human connection."
"978-1786076281","The Glass Hotel","Emily St. John Mandel","Picador","Fiction","English","Canada","A novel that weaves together the stories of a woman who disappears from a container ship at sea and the man who runs a massive Ponzi scheme.","Praised for its intricate plot, its atmospheric setting, and its haunting exploration of ghosts, guilt, and greed. It is a complex and elegant novel."
"978-1786079022","Sea of Tranquility","Emily St. John Mandel","Picador","Science Fiction","English","Canada","A novel that spans centuries, from 1912 to the distant future on a moon colony, and connects a series of characters who have all experienced a strange anomaly.","Praised for its beautiful writing, its ingenious plot, and its profound exploration of time, art, and human connection. It has been described as a hopeful and deeply moving work of science fiction."
"978-1787332282","Intimacies","Katie Kitamura","Jonathan Cape","Fiction","English","United States/United Kingdom","An interpreter at the International Court in The Hague is drawn into the complex personal and political lives of the people she works with, while navigating a new relationship and a sense of displacement.","Praised for its cool, precise prose, its psychological acuity, and its intelligent exploration of language, power, and intimacy. It was a critically acclaimed and sophisticated novel."
"978-1787331834","The Guest List","Lucy Fokley","HarperCollins","Thriller","English","United Kingdom","On a remote Irish island, a wedding celebration is disrupted by a murder, and everyone is a suspect.","A bestselling thriller that was praised for its atmospheric setting, its clever plotting, and its suspenseful twists. It is a classic 'whodunnit' with a modern feel."
"978-1786077554","The Paris Apartment","Lucy Fokley","HarperCollins","Thriller","English","United Kingdom","A young woman arrives in Paris to stay with her brother, only to find him missing. She begins to investigate his disappearance and uncovers dark secrets in his apartment building.","Another popular thriller from the author of 'The Guest List', it was praised for its suspenseful plot and its claustrophobic atmosphere. It is a fast-paced and entertaining read."
"978-1784165313","The Henna Artist","Alka Joshi","MIRA Books","Historical Fiction","English","United States","In 1950s India, a young woman escapes an abusive marriage and becomes a renowned henna artist, but her past comes back to haunt her. (Note: Joshi is American, but the book has been popular in Europe).","Praised for its vibrant setting, its resilient protagonist, and its rich historical detail. It is an immersive and engaging work of historical fiction."
"978-1786079008","The Secret Keeper of Jaipur","Alka Joshi","MIRA Books","Historical Fiction","English","United States","The sequel to 'The Henna Artist', it continues the story of Lakshmi and her young apprentice, Malik, as they become involved in a mystery at the Jaipur palace.","Praised as a worthy sequel that continues to explore the rich world and characters of the first book. It is an entertaining and well-researched historical novel."
"978-0241983615","The Beekeeper of Aleppo","Christy Lefteri","Zaffre Publishing","Fiction","English","United Kingdom/Cyprus","A novel about a Syrian beekeeper and his wife who are forced to flee their home and embark on a perilous journey to the UK as refugees.","Praised for its powerful and moving story of love, loss, and the refugee experience. It was a bestseller and a book that brought a human face to the Syrian crisis."
"978-1786077578","Songbirds","Christy Lefteri","Manilla Press","Fiction","English","United Kingdom/Cyprus","Inspired by a true story, this novel is about the disappearance of a migrant domestic worker in Cyprus, and the search for her by her employer and her lover.","Praised for its compassion, its social conscience, and its moving portrayal of the lives of migrant workers. It is a powerful and important novel."
"978-0241470520","Bewilderment","Richard Powers","William Heinemann","Fiction","English","United States","A novel about an astrobiologist who is raising his neurodivergent son alone, and the experimental neurofeedback treatment he uses to help his son connect with his late mother. (Note: Powers is American, but this was shortlisted for the Booker Prize).","Praised for its intellectual depth, its emotional power, and its profound exploration of fatherhood, grief, and the natural world. It is a thought-provoking and moving novel."
"978-0241578319","Crossroads","Jonathan Franzen","4th Estate","Fiction","English","United States","The first in a planned trilogy, this novel is a family saga set in 1970s suburban Chicago, following a pastor, his wife, and their four children as they each face a moral crisis. (Note: Franzen is American, but his work is widely read and discussed in Europe).","Praised for its ambitious scope, its complex characters, and its incisive portrayal of family dynamics. It was seen as a return to form for the author of 'The Corrections'."
"978-0241578357","Harlem Shuffle","Colson Whitehead","Fleet","Crime Fiction","English","United States","A crime novel set in 1960s Harlem, it follows a furniture salesman who leads a double life as a fence for stolen goods.","Praised for its vivid historical detail, its witty dialogue, and its entertaining plot. It was a fun and stylish crime novel from a two-time Pulitzer Prize-winning author."
"978-0241470544","To Paradise","Hanya Yanagihara","Picador","Fiction","English","United States","An epic novel that is divided into three sections, set in an alternate 1893, 1993, and 2093, and explores themes of love, loss, and the search for utopia.","Praised for its ambitious scope and its beautiful prose, but also noted for its challenging structure and its bleak vision of the future. It is a complex and thought-provoking novel."
"978-0241578371","Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Chatto & Windus","Fiction","English","United States","A novel that follows the decades-long friendship of two people who become creative partners in the world of video game design. (Note: Zevin is American, but this was a huge bestseller in Europe).","Praised for its unique and compelling story, its well-drawn characters, and its celebration of friendship and creativity. It was a massive international bestseller and a book beloved by many readers."
"978-0241578395","Young Mungo","Douglas Stuart","Picador","Fiction","English","United Kingdom (Scotland)","Set in a hyper-masculine, Protestant-Catholic divided Glasgow housing estate, this novel is a love story between two young men from opposite sides of the sectarian divide.","Praised for its powerful and tender portrayal of first love in a violent and intolerant world. It was a critically acclaimed and moving follow-up to the Booker Prize-winning 'Shuggie Bain'."
"978-0241578418","The Candy House","Jennifer Egan","Corsair","Fiction","English","United States","A 'sibling novel' to the Pulitzer Prize-winning 'A Visit from the Goon Squad', it explores a world where people can upload and share their memories.","Praised for its inventive structure, its interconnected characters, and its insightful exploration of technology, memory, and authenticity. It was a critically acclaimed and intellectually stimulating read."
"978-0241578432","Trust","Hernan Diaz","Riverhead Books","Fiction","English","United States","A novel that tells the story of a wealthy financier and his wife in 1920s New York, through four different documents that offer conflicting perspectives on their lives. (Note: Diaz is American, but this won the Pulitzer Prize and was longlisted for the Booker).","Praised for its ingenious structure, its elegant prose, and its clever exploration of truth, fiction, and power. It was a critically acclaimed and formally inventive novel."
"978-0241578456","The Passenger","Cormac McCarthy","Picador","Fiction","English","United States","The first of a two-part novel, it follows a salvage diver who is haunted by the legacy of his father, a physicist who worked on the atomic bomb, and his love for his troubled sister.","A long-awaited novel from a literary giant, it was praised for its philosophical depth, its beautiful prose, and its bleak and uncompromising vision. It is a challenging and profound work of fiction."
"978-0241578470","Stella Maris","Cormac McCarthy","Picador","Fiction","English","United States","The companion novel to 'The Passenger', it is told entirely through the transcripts of psychiatric sessions with Alicia Western, a brilliant mathematician and the sister of the protagonist of the first book.","Praised for its intellectual rigor and its intense and focused exploration of grief, madness, and the nature of reality. It is a dense and philosophical novel."
"978-0241578494","Liberation Day","George Saunders","Bloomsbury Publishing","Short Stories","English","United States","A collection of short stories that explore themes of power, consumerism, and the search for meaning in a strange and often absurd world.","Praised for Saunders' trademark blend of humor, pathos, and social satire. The stories were described as inventive, compassionate, and thought-provoking."
"978-0241578517","Our Missing Hearts","Celeste Ng","Little, Brown","Dystopian Fiction","English","United States","In a near-future America where 'unpatriotic' books are banned and children of dissidents are removed from their homes, a young boy goes on a quest to find his missing mother, a poet whose work has been deemed subversive. (Note: Ng is American, but her work is popular in Europe).","Praised for its timely and chilling premise, its moving story, and its celebration of the power of art and storytelling. It was a powerful and resonant novel."
"978-0241578531","Lucy by the Sea","Elizabeth Strout","Viking","Fiction","English","United States","The latest in the 'Lucy Barton' series, it follows the protagonist as she and her ex-husband leave New York City to quarantine in a small coastal town in Maine during the COVID-19 pandemic.","Praised for its quiet wisdom, its deep empathy, and its insightful portrayal of human relationships during a time of crisis. Strout's spare and elegant prose was once again admired by critics."
"978-0241578555","Demon Copperhead","Barbara Kingsolver","Faber & Faber","Fiction","English","United States","A modern retelling of 'David Copperfield', set in the Appalachian mountains of Virginia, it is a coming-of-age story about a boy born to a teenage mother in a community ravaged by the opioid crisis. (Note: Kingsolver is American, but this won the Pulitzer Prize and the Women's Prize for Fiction).","Praised for its powerful voice, its epic scope, and its compassionate portrayal of a community in crisis. It was a major critical and commercial success."
"978-0241578579","The Rabbit Hutch","Tess Gunty","Oneworld Publications","Fiction","English","United States","A novel that follows the residents of a low-income housing complex in a post-industrial Indiana town, and centers on a brilliant and troubled young woman who has aged out of the foster care system. (Note: Gunty is American, but this won the National Book Award and was a critical success in Europe).","Praised for its originality, its linguistic verve, and its ambitious portrayal of a diverse cast of characters. It was hailed as a stunning and inventive debut."
"978-0241578593","Nightcrawling","Leila Mottley","Bloomsbury Circus","Fiction","English","United States","Inspired by a real-life police scandal in Oakland, California, this novel is about a teenage girl who, in order to survive, begins to walk the streets and gets drawn into a world of police corruption. (Note: Mottley is American, but this was longlisted for the Booker Prize).","Praised for its powerful and unflinching story, its memorable protagonist, and its raw and honest prose. It was a critically acclaimed and impactful debut."
"978-0241578616","Booth","Karen Joy Fowler","Serpent's Tail","Historical Fiction","English","United States","A novel about the family of John Wilkes Booth, the man who assassinated Abraham Lincoln, it is a story of a family of actors, artists, and political dissenters.","Praised for its meticulous research, its rich characterizations, and its fascinating look at a family at the heart of American history. It was a critically acclaimed work of historical fiction."
"978-0241578630","The Trees","Percival Everett","Influx Press","Crime Fiction/Satire","English","United States","A satirical crime novel about a series of gruesome murders in a small Mississippi town, where the victims are all white men who were involved in a historic lynching. (Note: Everett is American, but this was shortlisted for the Booker Prize).","Praised for its audacious humor, its sharp satire, and its fearless exploration of America's history of racial violence. It was a critically acclaimed and formally inventive novel."
"978-0241578654","Glory","NoViolet Bulawayo","Chatto & Windus","Satire","English","Zimbabwe","An animal fable that satirizes the political turmoil in Zimbabwe, following the fall of a long-ruling dictator. (Note: Bulawayo is Zimbabwean, but this was shortlisted for the Booker Prize).","Praised for its originality, its political courage, and its inventive use of language. It was a powerful and unique work of political satire."
